symbol
MDT,Medtronic plc,Healthcare
MRK,Merck & Co. Inc.,Healthcare
META,Meta Platforms Inc. Class A,Communication Services
MTD,Mettler-Toledo International Inc.,Healthcare
MGM,MGM Resorts International,Consumer Discretionary
MCHP,Microchip Technology Incorporated,Information Technology
MU,Micron Technology Inc.,Information Technology
MSFT,Microsoft Corporation,Information Technology
MAA,Mid-America Apartment Communities Inc.,Real Estate
MRNA,Moderna Inc.,Healthcare
MHK,Mohawk Industries Inc.,Consumer Discretionary
MOH,Molina Healthcare Inc.,Healthcare
TAP,Molson Coors Beverage Company Class B,Consumer Staples
MDLZ,Mondelez International Inc. Class A,Consumer Staples
MPWR,Monolithic Power Systems Inc.,Information Technology
MNST,Monster Beverage Corporation,Consumer Staples
MCO,Moody’s Corporation,Financials
MS,Morgan Stanley,Financials
MOS,The Mosaic Company,Materials
MSI,Motorola Solutions Inc.,Information Technology
MSCI,MSCI Inc. Class A,Financials
NDAQ,Nasdaq Inc.,Financials
NTAP,NetApp Inc.,Information Technology
NFLX,Netflix Inc.,Communication Services
NWL,Newell Brands Inc.,Consumer Discretionary
NEM,Newmont Corporation,Materials
NWSA,News Corporation Class A,Communication Services
NWS,News Corporation Class B,Communication Services
NEE,NextEra Energy Inc.,Utilities
NKE,Nike Inc. Class B,Consumer Discretionary
NI,NiSource Inc.,Utilities
NBL,Noble Energy Inc.,Energy
NSC,Norfolk Southern Corporation,Industrials
NTRS,Northern Trust Corporation,Financials
NOC,Northrop Grumman Corporation,Industrials
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Discretionary
NRG,NRG Energy Inc.,Utilities
NUE,Nucor Corporation,Materials
NVDA,NVIDIA Corporation,Information Technology
NVR,NVR Inc.,Consumer Discretionary
NXPI,NXP Semiconductors N.V.,Information Technology
ORLY,O’Reilly Automotive Inc.,Consumer Discretionary
OXY,Occidental Petroleum Corporation,Energy
ODFL,Old Dominion Freight Line Inc.,Industrials
OMC,Omnicom Group Inc.,Communication Services
ON,ON Semiconductor Corporation,Information Technology
OKE,ONEOK Inc.,Energy
ORCL,Oracle Corporation,Information Technology
OGN,Organon & Co.,Healthcare
OTIS,Otis Worldwide Corporation,Industrials
PCAR,PACCAR Inc.,Industrials
PKG,Packaging Corporation of America,Materials
PARA,Paramount Global Class B,Communication Services
PH,Parker-Hannifin Corporation,Industrials
PAYX,Paychex Inc.,Information Technology
PYPL,PayPal Holdings Inc.,Information Technology
PNR,Pentair plc,Industrials
PEP,PepsiCo Inc.,Consumer Staples
PFE,Pfizer Inc.,Healthcare
PM,Philip Morris International Inc.,Consumer Staples
PSX,Phillips 66,Energy
PNW,Pinnacle West Capital Corporation,Utilities
PXD,Pioneer Natural Resources Company,Energy
PNC,PNC Financial Services Group Inc.,Financials
POOL,Pool Corporation,Consumer Discretionary
PPG,PPG Industries Inc.,Materials
PPL,PPL Corporation,Utilities
PFG,Principal Financial Group Inc.,Financials
PG,Procter & Gamble Company,Consumer Staples
PGR,Progressive Corporation,Financials
PLD,Prologis Inc.,Real Estate
PRU,Prudential Financial Inc.,Financials
PEG,Public Service Enterprise Group Inc.,Utilities
PSA,Public Storage,Real Estate
PHM,PulteGroup Inc.,Consumer Discretionary
QRVO,Qorvo Inc.,Information Technology
QCOM,Qualcomm Incorporated,Information Technology
PWR,Quanta Services Inc.,Industrials
DGX,Quest Diagnostics Incorporated,Healthcare
RL,Ralph Lauren Corporation Class A,Consumer Discretionary
RJF,Raymond James Financial Inc.,Financials
RTX,RTX Corporation,Industrials
O,Realty Income Corporation,Real Estate
REG,Regency Centers Corporation,Real Estate
REGN,Regeneron Pharmaceuticals Inc.,Healthcare
RF,Regions Financial Corporation,Financials
RSG,Republic Services Inc.,Industrials
RMD,ResMed Inc.,Healthcare
RHI,Robert Half International Inc.,Industrials
ROK,Rockwell Automation Inc.,Industrials
ROST,Ross Stores Inc.,Consumer Discretionary
RCL,Royal Caribbean Group,Consumer Discretionary
SPGI,S&P Global Inc.,Financials
CRM,Salesforce Inc.,Information Technology
SBAC,SBA Communications Corporation,Real Estate
SLB,Schlumberger Limited,Energy
STX,Seagate Technology Holdings plc,Information Technology
SEE,Sealed Air Corporation,Materials
SRE,Sempra Energy,Utilities
SHW,The Sherwin-Williams Company,Materials
SPG,Simon Property Group Inc.,Real Estate
SWKS,Skyworks Solutions Inc.,Information Technology
